feature,feature_label,feature_group,feature_type,description
has_gas,가스 상품 보유 여부,고객 특성,categorical,전기 외에 가스 상품도 함께 보유하고 있는지 확인합니다.
channel_sales,판매 채널,고객 특성,categorical,고객이 유입·계약된 판매 채널별 이탈률 차이를 확인합니다.
origin_up,계약 유입 경로,고객 특성,categorical,전력 계약이 생성된 유입 경로별 이탈률 차이를 확인합니다.
nb_prod_act,활성 상품 수,고객 특성,numeric,현재 이용 중인 상품·서비스 수에 따라 이탈률이 달라지는지 확인합니다.
num_years_antig,고객 유지 연차,고객 특성,numeric,PowerCo와의 관계가 오래된 고객과 신규 고객의 이탈률 차이를 확인합니다.
cons_12m,최근 12개월 전기 소비량,소비·수익,numeric,연간 전기 사용 규모에 따라 이탈률이 달라지는지 확인합니다.
cons_gas_12m,최근 12개월 가스 소비량,소비·수익,numeric,가스 사용 규모에 따라 이탈률이 달라지는지 확인합니다.
cons_last_month,최근 1개월 전기 소비량,소비·수익,numeric,가장 최근 전기 사용량 수준과 이탈률의 관계를 확인합니다.
forecast_cons_12m,향후 12개월 예측 소비량,소비·수익,numeric,예측 소비 규모와 이탈률 사이에 관찰되는 차이를 확인합니다.
net_margin,고객 순마진,소비·수익,numeric,고객 수익성 수준에 따라 이탈률이 달라지는지 확인합니다.
pow_max,최대 계약전력,소비·수익,numeric,계약된 최대 전력 규모와 이탈률의 관계를 확인합니다.
contract_end_within_3m,3개월 내 계약 종료 예정,계약 생애주기,categorical,예측 기간 안에 계약 종료가 예정된 고객의 이탈률을 비교합니다.
contract_tenure_days,계약 유지 기간,계약 생애주기,numeric,기준일까지 계약을 유지한 기간에 따라 이탈률이 어떻게 달라지는지 확인합니다.
days_until_contract_end,계약 종료까지 남은 기간,계약 생애주기,numeric,계약 종료 시점이 가까운 고객과 먼 고객의 이탈률 차이를 확인합니다.
days_until_renewal,계약 갱신까지 남은 기간,계약 생애주기,numeric,갱신 시점까지 남은 기간과 이탈률의 관계를 확인합니다.
renewal_within_3m,3개월 내 갱신 예정,계약 생애주기,categorical,예측 기간 안에 갱신이 예정된 고객의 이탈률을 비교합니다.
contract_age_ratio,계약 생애주기 진행률,계약 생애주기,numeric,전체 계약 기간 중 현재 어느 구간에 있는지와 이탈률의 관계를 확인합니다.
recent_consumption_change_log,최근 소비 변화,변화 신호,numeric,최근 한 달 소비가 과거 월평균보다 늘었는지 줄었는지에 따라 이탈률을 비교합니다.
off_peak_energy_recent_change_rate,최근 비첨두 에너지 가격 변화,변화 신호,numeric,최근 에너지 가격 변화 정도와 이탈률의 관계를 확인합니다.
off_peak_power_recent_change_rate,최근 비첨두 전력 가격 변화,변화 신호,numeric,최근 전력 가격 변화 정도와 이탈률의 관계를 확인합니다.
forecast_off_peak_energy_change,최근 가격 대비 예측 에너지 가격 변화,변화 신호,numeric,최근 실제 가격과 향후 예측 가격의 차이에 따라 이탈률이 달라지는지 확인합니다.
forecast_off_peak_power_change,최근 가격 대비 예측 전력 가격 변화,변화 신호,numeric,최근 실제 전력 가격과 향후 예측 가격의 차이에 따라 이탈률을 확인합니다.
